Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Otsubo Y.","55955159400;","Measuring the bid-ask spreads: a note on the potential downward bias of the Thompson–Waller estimator",2015,"Applied Economics Letters","22","10",,"808","814",,1,"10.1080/13504851.2014.978071","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84928607651&doi=10.1080%2f13504851.2014.978071&partnerID=40&md5=286b2c20a382fe358050ca72f7b5eaac","Institute for Monetary and Economic Studies, Bank of Japan, Chuo-ku, Tokyo  103-8660, Japan","Otsubo, Y., Institute for Monetary and Economic Studies, Bank of Japan, Chuo-ku, Tokyo  103-8660, Japan","The upward bias of the widely used Thompson–Waller estimator has been pointed out in the literature. In contrast, the current article provides a case the estimator would have downward bias: frequent continuous arrivals of orders in the same side associated with a small price change. The upward bias might be cancelled out by downward bias, and the estimator might perform better than the other methods such as Wang–Yau–Baptiste used by the U.S. Commodity Futures Trading Commission. The high-frequency data of the emissions market allows us to provide an empirical evidence. © 2014, © 2014 Taylor & Francis.","bid-ask spread; carbon emissions market; futures market; market microstructure; Thompson–Waller estimator","carbon emission; emissions trading; estimation method; price dynamics","Otsubo, Y.; Institute for Monetary and Economic Studies, Japan",,"Routledge",13504851,,,,"English","Appl. Econ. Lett.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928607651
"Bleaney M., Li Z.","7003754246;56075199100;","The performance of bid-ask spread estimators under less than ideal conditions",2015,"Studies in Economics and Finance","32","1",,"98","127",,9,"10.1108/SEF-04-2014-0075","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84924048730&doi=10.1108%2fSEF-04-2014-0075&partnerID=40&md5=beafcf576a0a3cb6179a767bdd2640ce","School of Economics, University of Nottingham, Nottingham, United Kingdom","Bleaney, M., School of Economics, University of Nottingham, Nottingham, United Kingdom; Li, Z., School of Economics, University of Nottingham, Nottingham, United Kingdom","Purpose: This paper aims to investigate the performance of estimators of the bid-ask spread in a wide range of circumstances and sampling frequencies. The bid-ask spread is important for many reasons. Because spread data are not always available, many methods have been suggested for estimating the spread. Existing papers focus on the performance of the estimators either under ideal conditions or in real data. The gap between ideal conditions and the properties of real data are usually ignored. The consistency of the estimates across various sampling frequencies is also ignored. Design/methodology/approach: The estimators and the possible errors are analysed theoretically. Then we perform simulation experiments, reporting the bias, standard deviation and root mean square estimation error of each estimator. More specifically, we assess the effects of the following factors on the performance of the estimators: the magnitude of the spread relative to returns volatility, randomly varying of spreads, the autocorrelation of mid-price returns and mid-price changes caused by trade directions and feedback trading. Findings: The best estimates come from using the highest frequency of data available. The relative performance of estimators can vary quite markedly with the sampling frequency. In small samples, the standard deviation can be more important to the estimation error than bias; in large samples, the opposite tends to be true. Originality/value: There is a conspicuous lack of simulation evidence on the comparative performance of different estimators of the spread under the less than ideal conditions that are typical of real-world data. This paper aims to fill this gap. © Emerald Group Publishing Limited.","Bid-ask spread; Estimation; Feedback trading",,"Bleaney, M.; School of Economics, United Kingdom; email: michael.bleaney@nottingham.ac.uk",,"Emerald Group Holdings Ltd.",10867376,,,,"English","Stud. Econ. Financ.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84924048730
"Cerqueira A., Pereira C.","56069460700;57143563400;","Accounting accruals and information asymmetry in Europe",2015,"Prague Economic Papers","24","6",,"638","661",,8,"10.18267/j.pep.528","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84959269645&doi=10.18267%2fj.pep.528&partnerID=40&md5=a98a106d59c244244fb15906716f3e6d","University of Porto, School of Economics and Management, Porto, Portugal; Center for Studies in Business and Legal Sciences, School of Accounting and Administration of Porto, Polytechnic Institute of Porto, S. Mamede de Infesta, Portugal","Cerqueira, A., University of Porto, School of Economics and Management, Porto, Portugal; Pereira, C., Center for Studies in Business and Legal Sciences, School of Accounting and Administration of Porto, Polytechnic Institute of Porto, S. Mamede de Infesta, Portugal","We investigate whether the positive relation between accounting accruals and information asymmetry documented for U.S. stock markets also holds for European markets, considered as a whole and at the country level. This research is relevant because this relation is likely to be affected by differences in accounting standards used by companies for financial reporting, in the traditional use of the banking system or capital markets for firm financing, in legal systems and cultural environment. We find that in European stock markets discretionary accruals are positively related with the Corwin and Schultz high-low spread estimator used as a proxy for information asymmetry. Our results suggest that the earnings management component of accruals outweighs the informational component, but the significance of the relation varies across countries. Further, such association tends to be stronger for firms with the highest levels of positive discretionary accruals. Consistent with the evidence provided by the authors, our results also suggest that the high-low spread estimator is more efficient than the closing bid-ask spread when analysing the impact of information quality on information asymmetry. © University of Economics, Prague.","Discretionary accruals; High-low spread estimator; Information asymmetry; Information quality",,,,"University of Economics - Prague",12100455,,,,"English","Prague Econ. Pap.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-84959269645
"Zhang X., Yang J., Su H., Zhang S.","55247631800;41961732900;57192074312;57192070773;","Liquidity premium and the Corwin-Schultz bid-ask spread estimate",2014,"China Finance Review International","4","2",,"168","186",,4,"10.1108/CFRI-09-2013-0121","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84996564542&doi=10.1108%2fCFRI-09-2013-0121&partnerID=40&md5=dedc7c4495114c65b8d567f36c8f23c5","Shanxi Business School, Shanxi University, Taiyuan, China; Department of Socio-culture, Guangdong Provincial Administration Institute, Guangzhou, China","Zhang, X., Shanxi Business School, Shanxi University, Taiyuan, China; Yang, J., Shanxi Business School, Shanxi University, Taiyuan, China; Su, H., Department of Socio-culture, Guangdong Provincial Administration Institute, Guangzhou, China; Zhang, S., Shanxi Business School, Shanxi University, Taiyuan, China","Purpose – The purpose of this paper is to explore the price implication of a newly developed estimator of the bid-ask spread by Corwin and Schultz (2012). The paper focusses on whether the new measure as a liquidity proxy commands a significant premium. The research helps the understanding on the validity of the Corwin-Schultz estimate as a liquidity measure. Design/methodology/approach – The authors carry out their examination based on the portfolio approach, cross-sectional regressions, and time-series regressions. For comparison, the authors also adopt other three liquidity proxies and mainly rely on the Fama-French three-factor model as the benchmark. The sample includes NYSE/AMEX/ARCA/NASDAQ ordinary common stocks over 1926-2010. Findings – The paper finds that Corwin-Schultz spread lacks significant power to predict returns either in the pre- or post-1963 period. In contrast, other liquidity measures such as the price impact of Amihud (2002), trading discontinuity of Liu (2006), and turnover show stronger return predictability than the Corwin-Schultz spread estimate. Research limitations/implications – The evidence indicates the limited ability of the Corwin-Schultz spread estimate to describe liquidity. Practical implications – The comparison of the Corwin-Schultz spread with other liquidity measures helps practitioners and academic researchers to identify the appropriate proxy. Originality/value – This paper, for the first time, provides a thorough assessment of the Corwin-Schultz spread estimate as a liquidity proxy, which distinguish from Corwin and Schultz (2012) who focus on whether their spread estimate measures transaction costs. Our study not only helps practitioners and academic researchers to select an adequate liquidity measure and an asset pricing model to use, but it also sheds light on the current debate about whether transaction costs have the first order importance in asset pricing. © 2014, © Emerald Group Publishing Limited.","Asset pricing theory; Corwin-Schultz bid-ask spread estimate; Liquidity premium; Liquidity risk",,"Zhang, X.; Shanxi Business School, China; email: zhangxd@sxu.edu.cn",,"Emerald Group Publishing Ltd.",20441398,,,,"English","China Finance Rev. Int.",Article,"Final","",Scopus,2-s2.0-84996564542
"Huth N., Abergel F.","55000268400;6602354583;","High frequency lead/lag relationships - Empirical facts",2014,"Journal of Empirical Finance","26",,,"41","58",,29,"10.1016/j.jempfin.2014.01.003","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84894075247&doi=10.1016%2fj.jempfin.2014.01.003&partnerID=40&md5=2b1deb81fd9a60e28349173b44c6a7b1","Natixis, Equity Markets, France; BNP Paribas Chair of Quantitative Finance, Ecole Centrale Paris, MAS Laboratory, France","Huth, N., Natixis, Equity Markets, France, BNP Paribas Chair of Quantitative Finance, Ecole Centrale Paris, MAS Laboratory, France; Abergel, F., BNP Paribas Chair of Quantitative Finance, Ecole Centrale Paris, MAS Laboratory, France","Lead/lag relationships are an important stylized fact at high frequency. Some assets follow the path of others with a small time lag. We provide indicators to measure this phenomenon using tick-by-tick data. Strongly asymmetric cross-correlation functions are empirically observed, especially in the future/stock case. We confirm the intuition that the most liquid assets (short intertrade duration, narrow bid/ask spread, small volatility, high turnover) tend to lead smaller stocks. However, the most correlated stocks are those with similar levels of liquidity. These lead/lag relationships become more and more pronounced as we zoom on significant events. We reach 60% of accuracy when forecasting the next midquote variation of the lagger using only the past information of the leader, which is significantly better than using the information of the lagger only. However, a naive strategy based on market orders cannot make any profit of this effect because of the bid/ask spread. © 2014 Elsevier B.V.","Hayashi-Yoshida estimator; High frequency correlation; Lead/lag; Tick-by-tick data",,"Abergel, F.; Chair of Quantitative Finance, , Grande Voie des Vignes 92290 Châtenay-Malabry, France; email: frederic.abergel@ecp.fr",,,09275398,,JEFIE,,"English","J. Empir. Financ.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84894075247
"Bouchaddekh T., Bouri A., Kefi M.K.","57190409497;24450157600;57190410431;","Capital asset pricing model with frictions: Application to the Tunisian stock market",2014,"International Journal of Economics and Financial Issues","4","3",,"657","668",,1,,"https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84979796783&partnerID=40&md5=0e6f91ab8c9a61253a36b36b7a5c9816","Institute of Management of Gabes, Tunisia; Economics and Management of Sfax, Tunisia; CERI ISTEC Paris, PRISM Sorbonne, Tunisia","Bouchaddekh, T., Institute of Management of Gabes, Tunisia; Bouri, A., Economics and Management of Sfax, Tunisia; Kefi, M.K., CERI ISTEC Paris, PRISM Sorbonne, Tunisia","For many decades, asset-pricing theory was constructed on absence of frictions hypothesis. However, since pioneers’ works of Chen, Kim and Kon (1975) and Amihud and Mendelson (1986) in microstructure area, systematic violations of this assumption were observed and the standard CAPM generates biased estimates of returns. The main obstacle that we face when we use CAPM with frictions is the unavailability of the observable variables that directly measure illiquidity costs, transaction costs and information costs. Microstructure literature provides many models to estimate them. We use Amihud (2002) model to estimate illiquidity costs and Lin et al. (1995) model to estimate transaction and information costs. Before a study of a sample of 40 quoted securities in Tunisian financial market, on the period of 07/02/2011 to 31/01/2013, results appear conclusive. First, we show the existence of asset pricing bias compared to the standard CAPM. Furthermore, we find a strong relation between transaction costs, information costs and illiquidity estimators and returns; thus the use of the CAPM with frictions. This model appears very strong and the results prove the necessity to account for frictions in asset pricing. © 2014 Econjournals. All rights reserved.","Bid-ask spread components; CAPM; Frictions; Market microstructure",,"Bouchaddekh, T.; Institute of Management of GabesTunisia; email: trbl123d@voila.fr",,"Econjournals",21464138,,,,"English","Int. J. Econ. Financ. Issues",Article,"Final","",Scopus,2-s2.0-84979796783
"Alsayed H., McGroarty F.","55347711700;57203348818;","Ultra-high-frequency algorithmic arbitrage across international index futures",2014,"Journal of Forecasting","33","6",,"391","408",,10,"10.1002/for.2298","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84906946223&doi=10.1002%2ffor.2298&partnerID=40&md5=9e6ba8bbcc6c3a3972dc9d0a13e2b949","Southampton Management School, University of Southampton, Highfield, Southampton, SO17 1BJ, United Kingdom","Alsayed, H., Southampton Management School, University of Southampton, Highfield, Southampton, SO17 1BJ, United Kingdom; McGroarty, F., Southampton Management School, University of Southampton, Highfield, Southampton, SO17 1BJ, United Kingdom","We show that persistent lead-lag relationships spanning mere fractions of a second exist in all three possible pairings of the S&P 500, FTSE 100 and DAX futures contracts. These relationships exhibit clear intraday patterns which help us to forecast mid-quote changes in lagging contracts with directional accuracy in excess of 85%. A simple algorithmic trading strategy exploiting these relations yields economically significant profits which are robust to market impact costs and the bid-ask spread. We find that price slippage and infrastructure costs are our most important limits to arbitrage. Our results support the impossibility of EMH view that informational inefficiencies incentivize arbitrageurs to eliminate mispricings. Copyright © 2014 John Wiley & Sons, Ltd. Copyright © 2014 John Wiley & Sons, Ltd.","futures markets; Hayashi-Yoshida cross-correlation estimator; lead-lag relationships; statistical arbitrage","Commerce; Contracts; Costs; Algorithmics; Cross correlation estimators; Directional accuracy; Futures contract; Hayashi-yoshidum cross-correlation estimator; Index futures; Lead-lag; Lead-lag relationship; Statistical arbitrage; Ultra-high-frequency; Financial markets","McGroarty, F.; Southampton Management School, , Highfield, Southampton, SO17 1BJ, United Kingdom; email: f.j.mcgroarty@soton.ac.uk",,"John Wiley and Sons Ltd",02776693,,JOFOD,,"English","J Forecast",Article,"Final","",Scopus,2-s2.0-84906946223
"Galai D., Schreiber B.Z.","7801379315;55746849500;","Bid-ask spreads and implied volatilities of key players in a FX options market",2013,"Journal of Futures Markets","33","8",,"774","794",,4,"10.1002/fut.21605","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84878179868&doi=10.1002%2ffut.21605&partnerID=40&md5=be800f3908dc6040c8c484cdf6134b24","Finance and Business Administration at the Hebrew University, School of Business Administration, Jerusalem, Israel; Information and Statistics Department, Bank of Israel, Jerusalem, Israel","Galai, D., Finance and Business Administration at the Hebrew University, School of Business Administration, Jerusalem, Israel; Schreiber, B.Z., Information and Statistics Department, Bank of Israel, Jerusalem, Israel","This study proposes a simultaneous estimation of the bid-ask spreads (BAS) and implied volatility (IV), based on trading options of various key players in the Israeli OTC FX options market. It explores the surface shape of both variables based on a ""clientele effect."" We employ detailed data on OTC foreign exchange options trading that enable us to examine the behavior of the key players (financial companies, non-financial firms, households, and foreign investors) during relatively turbulent and tranquil periods. Using simultaneous unbiased estimates of BAS and IV, we find substantial differences in BASs among key players while insignificant differences in IV. This evidence reflects differences in key players' profile such as trading size, sophistication and contestability on one hand and a ""no arbitrage opportunities"" of IV on the other hand. © 2013 Wiley Periodicals, Inc.",,,"Schreiber, B.Z.; Information and Statistics Department, 1 Bank of Israel St., Jerusalem 91007, Israel; email: ben.schreiber58@gmail.com",,,02707314,,,,"English","J. Futures Mark.",Article,"Final","",Scopus,2-s2.0-84878179868
"Bannör K.F., Scherer M.","56089175100;25321141300;","Capturing parameter risk with convex risk measures",2013,"European Actuarial Journal","3","1",,"97","132",,21,"10.1007/s13385-013-0070-z","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84902657076&doi=10.1007%2fs13385-013-0070-z&partnerID=40&md5=7d5cfba7533e20ac4e857d54465a9943","Parkring 11, Garching bei München, 85748, Germany","Bannör, K.F., Parkring 11, Garching bei München, 85748, Germany; Scherer, M., Parkring 11, Garching bei München, 85748, Germany","Adequately specifying the parameters of a financial or actuarial model is challenging. In case of historical estimation, uncertainty arises through the estimator’s volatility and possible bias. In case of market implied parameters, the solution of a calibration to market data might not be unique or the numerical routine returns a local instead of a global minimum. This paper provides a new method based on convex risk measures to quantify parameter risk and to translate it into prices, extending results in Cont (Math Finance 16(3):519–547, 2006) and Lindström (Adv Decision Sci, 2010). We introduce the notion of risk-capturing functionals and prices, provided a distribution on the parameter (or model) set is available, and present explicit examples where the Average-Value-at-Risk and the entropic risk measure are used. For some classes of risk-capturing functionals, the risk-captured price preserves weak convergence of the distributions. In particular, the risk-captured price generated by the distributions of a consistent sequence of estimators converges to the true price. For asymptotically normally distributed estimators we provide large sample approximations for risk-captured prices. Following Bion-Nadal (J Math Econ 45(11):738–750, 2009); Carr et al. (J Financ Econ 62:131–167, 2001); Cherny and Madan (Int J Theor Appl Finance 13(8):1149–1177, 2010); Xu (Ann Finance 2:51–71, 2006), we interpret the risk-captured price as an ask price, reflecting aversion towards parameter risk. To acknowledge parameter risk in case of calibration to market prices, we create a parameter distribution from the pricing error function, allowing us to compare the intrinsic parameter risk of the stochastic volatility models of Heston and Barndorff-Nielsen and Shephard as well as the Variance Gamma option pricing model by pricing different exotics. © 2013, DAV / DGVFM.","Bid-ask spread; Calibration risk; Convex risk measure; Parameter risk; Risk-captured price; Risk-capturing functional",,"Scherer, M.Parkring 11, Germany; email: scherer@tum.de",,"Springer Berlin",21909733,,,,"English","Eur. Actuar. J.",Article,"Final","",Scopus,2-s2.0-84902657076
"Ioffe I.D., Prisman E.Z.","7005999030;6602605592;","Arbitrage violations and implied valuations: the option market",2013,"European Journal of Finance","19","4",,"298","317",,3,"10.1080/1351847X.2012.672440","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84876995985&doi=10.1080%2f1351847X.2012.672440&partnerID=40&md5=bee9197c1345f4a50d133a95472b0989","National Bank of Canada, 130 King St. West, B-3200, Toronto, ON, M5X 1J9, Canada; Schulich School of Business, York University, 4700 Keele Street, Toronto, ON, M3J 1P3, Canada","Ioffe, I.D., National Bank of Canada, 130 King St. West, B-3200, Toronto, ON, M5X 1J9, Canada; Prisman, E.Z., Schulich School of Business, York University, 4700 Keele Street, Toronto, ON, M3J 1P3, Canada","The ideas presented in this paper are those of the authors and not necessarily reflect the views of the National bank of Canada. Both authors thank the National Bank of Canada and the SSHRC of Canada for their help. Thanks are also due to Professor Y. Tian for his comments, and for participating, together with students of the Financial Engineering program at York University, in the data preparation and the execution of the Matlab programs. In this paper, we propose a necessary and sufficient condition for bid and ask prices of European options to be free of arbitrage, and derive from it an efficient numerical methodology to determine its satisfaction by a given set of prices. If the bid and ask prices satisfy the no-arbitrage (NA) condition, our methodology produces a vector of NA prices that lie between the bid and ask prices. Otherwise, our methodology generates a vector of arbitrage-free prices that is as close as possible, in some sense, to the bid-ask strip. The arbitrage-free prices detected by our methodology render the commonly used practice of using mid-points and then 'cleaning' arbitrage from them as unnecessary. Moreover, a vector of 'cleaned' prices obtained from mid-point prices may be outside the bid-ask spread even in an arbitrage-free market and, hence, in this case will not be representative of the current market. A new procedure of estimating implied valuation operators is also suggested here. This procedure is rooted in the economic properties of put and call prices and is based on Phillips and Taylor's approximation of a convex function. This approach is superior to common estimation techniques in that it produces an analytical expression for the implied valuation operator and is not data intensive as some other studies. Empirical findings for the new methods are documented and their economic implications are discussed. © 2013 Copyright Taylor and Francis Group, LLC.","asset pricing; bond interest rates; contingent pricing; estimation; futures pricing; model construction and estimation; trading volume",,"Prisman, E. Z.; Schulich School of Business, 4700 Keele Street, Toronto, ON, M3J 1P3, Canada; email: eprisman@yorku.ca",,,1351847X,,,,"English","Eur. J. Financ.",Article,"Final","",Scopus,2-s2.0-84876995985
"Jackson A.","55874900200;","Asymmetric information, trading volume, and portfolio performance",2013,"Corporate Ownership and Control","11","1 A",,"8","19",,,"10.22495/cocv11i1art1","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84885099527&doi=10.22495%2fcocv11i1art1&partnerID=40&md5=90390a74b6e843edb4c9f10671ad3bc9","School of Economics, University of East Anglia, Norwich NR4 7TJ, United Kingdom","Jackson, A., School of Economics, University of East Anglia, Norwich NR4 7TJ, United Kingdom","In dealership markets, asymmetric information feeds through to higher transaction costs as dealers adjust their bid-ask spreads to compensate for anticipated losses. In this paper, we show that the presence of asymmetric information can also provide a positive externality to those market participants who operate in multiple markets-portfolio managers. Specifically, insiders lower the estimation errors of portfolio selection methods, thus improving asset allocation. We develop multiple artificial markets, in which portfolio managers trade alongside informed and uniformed speculators, and we contrast the performance of 'volatility timing'-a method that relies on efficient price discovery - with that of 'naive diversification'. Volatility timing is shown to consistently outperform naive diversification on a risk-adjusted basis.","Asymmetric information; Portfolio selection; Stochastic simulation",,"Jackson, A.; School of Economics, , Norwich NR4 7TJ, United Kingdom; email: antony.jackson@uea.ac.uk",,"Virtus Interpress",17279232,,,,"English","Corp. Ownersh. Control",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84885099527
"Li S., Abdullah M.H.","22958340500;57192639961;","Implied transaction costs by Leland option pricing model: A new approach and empirical evidence",2012,"Journal of Derivatives and Hedge Funds","18","4",,"333","360",,2,"10.1057/jdhf.2012.12","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84869059605&doi=10.1057%2fjdhf.2012.12&partnerID=40&md5=bfc5e963287334f69fc198d98eef82ac","Graduate School of Business and Law, RMIT University, 379-405 Russell St, Melbourne VIC 3000, Australia; Department of Computational and Theoretical Sciences, International Islamic University Malaysia (IIUM), University of Adelaide, Australia","Li, S., Graduate School of Business and Law, RMIT University, 379-405 Russell St, Melbourne VIC 3000, Australia; Abdullah, M.H., Department of Computational and Theoretical Sciences, International Islamic University Malaysia (IIUM), University of Adelaide, Australia","Estimation of transaction costs in a stock market is an important issue for stock trading, asset pricing, stock market regulation and so on, and it is often done by combining the bid-ask spread estimate with commissions and other fees provided by market participants, which can be subjective. This study aims to offer an innovative alternative method to estimate the transaction costs in stock trading via the implied transaction costs by using the Leland option pricing model. The effectiveness of this new approach is tested by using the S&P/ASX 200 index call options data. On the basis of the actual transaction costs estimates on the Australian Securities Exchange (ASX) documented by previous studies and Roll's model, the empirical results reveal that this new approach can provide a reliable transaction costs estimate on stock trading on the ASX. Furthermore, the accuracy of the implied transaction costs across option moneyness and maturity and the variation of the implied transaction costs during the recent global financial crisis period are investigated. © 2012 Macmillan Publishers Ltd.",,,"Li, S.; Graduate School of Business and Law, 379-405 Russell St, Melbourne VIC 3000, Australia; email: steven.li@rmit.edu.au",,,17539641,,,,"English","J. Deriv. Hedge Funds",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84869059605
"Ourir A., Snoussi W.","57212565982;36125338600;","Markets liquidity risk under extremal dependence: Analysis with VaRs methods",2012,"Economic Modelling","29","5",,"1830","1836",,8,"10.1016/j.econmod.2012.05.036","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84862609315&doi=10.1016%2fj.econmod.2012.05.036&partnerID=40&md5=6b10b52231245d11a62c9186406afb23","DEFI, ESSEC Tunis, University of Tunis, Tunisia; ISG Tunis, University of Tunis, Tunisia","Ourir, A., DEFI, ESSEC Tunis, University of Tunis, Tunisia; Snoussi, W., ISG Tunis, University of Tunis, Tunisia","Value-at-Risk (VaR) is a widely used tool for assessing financial market risk. In practice, the estimation of liquidity extreme risk by VaR generally uses models assuming independence of bid-ask spreads. However, bid-ask spreads tend to occur in clusters with time dependency, particularly during crisis period. Our paper attempts to fill this gap by studying the impact of negligence of dependency in liquidity extreme risk assessment of Tunisian stock market. The main methods which take into account returns dependency to assess market risk is Time series-Extreme Value Theory combination. Therefore we compare VaRs estimated under independency (Variance-Covariance Approach, Historical Simulation and the VaR adjusted to extreme values) relatively to the VaR when dependence is considered. The efficiency of those methods was tested and compared using the backtesting tests. The results confirm the adequacy of the recent extensions of liquidity risk in the VaR estimation. Therefore, we prove a performance improvement of VaR estimates under the assumption of dependency across a significant reduction of the estimation error, particularly with AR (1)-GARCH (1,1)-GPD model. © 2012 Elsevier B.V..","Dependency; Extreme value; Liquidity risk; Value-at-Risk",,"Ourir, A.; DEFI, Tunisia; email: ourirawatef@yahoo.fr",,,02649993,,,,"English","Econ. Model.",Article,"Final","",Scopus,2-s2.0-84862609315
"Yip Y.-Y., Hooy C.-W.","36070242300;6507134815;","Call Warrant Listing and the Behavior of its Underlying Spot Market: Some Evidence from Bursa Malaysia",2012,"Journal of Asia-Pacific Business","13","3",,"287","298",,1,"10.1080/10599231.2012.690654","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84864667459&doi=10.1080%2f10599231.2012.690654&partnerID=40&md5=03168661eb9398f27072bd76224d3d87","Faculty of Business and Law, Multimedia University, Malacca Campus, Jalan Ayer Keroh Lama, 75450 Malacca, Malaysia; University Sains Malaysia, Penang, Malaysia","Yip, Y.-Y., Faculty of Business and Law, Multimedia University, Malacca Campus, Jalan Ayer Keroh Lama, 75450 Malacca, Malaysia; Hooy, C.-W., University Sains Malaysia, Penang, Malaysia","This study investigates the call warrant listing impact on its underlying stock based on Malaysian stock market. The study indicates that call warrant listing has no significant impact on the return, volatility, and bid-ask spread of its underlying stock. However, its trading volume tends to be higher in the post event period. The results suggest that (1) the diversion of trade from spot to warrant market is nonexistent, (2) call warrant does not expand the opportunity set for investors, (3) it is fair to use historical data in volatility estimation for the purpose of asset pricing based on Malaysian context. © 2012 Copyright Taylor and Francis Group, LLC.","Bursa Malaysia; derivatives; warrants","capital formation; financial market; market conditions; price dynamics; stock market; Malaysia","Yip, Y.-Y.; Faculty of Business and Law, Malacca Campus, Jalan Ayer Keroh Lama, 75450 Malacca, Malaysia; email: yyyip@mmuedu.my",,,10599231,,,,"English","J. Asia-Pacific Bus.",Article,"Final","",Scopus,2-s2.0-84864667459
"Corwin S.A., Schultz P.","7003982806;7202484866;","A Simple Way to Estimate Bid-Ask Spreads from Daily High and Low Prices",2012,"Journal of Finance","67","2",,"719","760",,447,"10.1111/j.1540-6261.2012.01729.x","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84859140148&doi=10.1111%2fj.1540-6261.2012.01729.x&partnerID=40&md5=15d6aff88188911d18e9c4ed0f00309d","Mendoza College of Business, University of Notre Dame, United States","Corwin, S.A., Mendoza College of Business, University of Notre Dame, United States; Schultz, P., Mendoza College of Business, University of Notre Dame, United States","We develop a bid-ask spread estimator from daily high and low prices. Daily high (low) prices are almost always buy (sell) trades. Hence, the high-low ratio reflects both the stock's variance and its bid-ask spread. Although the variance component of the high-low ratio is proportional to the return interval, the spread component is not. This allows us to derive a spread estimator as a function of high-low ratios over 1-day and 2-day intervals. The estimator is easy to calculate, can be applied in a variety of research areas, and generally outperforms other low-frequency estimators. © 2012 The American Finance Association.",,,"Schultz, P.; Mendoza College of Business, United States",,,00221082,,,,"English","J. Financ.",Article,"Final","",Scopus,2-s2.0-84859140148
"Levendovszky J., Kia F.","55925302600;55925460500;","Prediction based - High frequency trading on financial time series",2012,"Periodica Polytechnica Electrical Engineering and Computer Science","56","1",,"29","34",,4,"10.3311/PPee.7165","https://scopus-krea.refread.com/inward/record.uri?eid=2-s2.0-84890448450&doi=10.3311%2fPPee.7165&partnerID=40&md5=25f18aef586c48bca98b0880f7eb8e0d","Department of Networked Systems and Services, BME, Magyar tudósok körútja 2., H-1117 Budapest, Hungary; Department of Networked Systems and Sevices, BME, Magyar tudósok körútja 2, H-1117 Budapest, Hungary","Levendovszky, J., Department of Networked Systems and Services, BME, Magyar tudósok körútja 2., H-1117 Budapest, Hungary; Kia, F., Department of Networked Systems and Sevices, BME, Magyar tudósok körútja 2, H-1117 Budapest, Hungary","In this paper we investigate prediction based trading on financial time series assuming general AR(J) models. A suitable nonlinear estimator for predicting the future values will be provided by a properly trained FeedForward Neural Network (FFNN) which can capture the characteristics of the conditional expected value. In this way, one can implement a simple trading strategy based on the predicted future value of the asset price and comparing it to the current value. The method is tested on FOREX data series and achieved a considerable profit on the mid price. In the presence of the bid-ask spread, the gain is smaller but it still ranges in the interval 2-6 percent in 6 months without using any leverage. FFNNs can provide fast prediction which can give rise to high frequency trading on intraday data series.","Algorithmic trading; Time series analysis","Commerce; Feedforward neural networks; Forecasting; Time series analysis; Commerce; Electronic trading; Feedforward neural networks; Financial data processing; Forecasting; Algorithmic trading; Expected values; Feedforward neural networks (FFNN); Financial time series; High-frequency trading; Nonlinear estimator; Prediction-based; Trading strategies; Financial data processing; Time series analysis",,,,20645260,,PPYTA,,"English","Period Polytech Electr Eng",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84890448450
